"CompanyName_E","Region_Name_E","Circle_Name_E","Division_Name_E","DC_Name_E","Region_Name_E-2","gis_feeder_id","description_of_work","tkc_apply_date","pma_apply_date","dgm_apply_date","je_apply_date","gm_apply_date","gm_cert_apply_date"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","253233","LT Cable Augmentation Ashok gour wala 0388","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","64292","ADDISTIONAL DTR MANDIR KE PASS","2025-09-06","2025-09-07","2025-11-10","2025-09-24","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","243753","100 KVA TOWER WALA SODALPUR ADDITIONAL","2025-07-15","2025-07-16","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","251050","Bare conductor to ab cable 25kva bsnl tower colony","2025-07-15","2025-07-16","2025-11-04","2025-09-24","2025-11-05","2025-11-05"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265853","Conversion of LT Line : MALPONE LT CABLE AUG GAON WALA DTR","2025-09-06","2025-09-07","2025-11-10","2025-09-24","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","64761","sheetala mata mandir 63 dtr choukdi","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","266844","Conversion of LT Line : LT Cable Augmentation Bhimpura 1 No DTR","2025-05-17","2025-05-18","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Bhind","O&M Division Gohad","Mau DC","Gwalior","47969","33KV NEW RATWA SS 33KV LINE 11LINE","2025-10-09","2025-10-09","2025-10-09",NULL,"2025-10-09","2025-10-09"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","255973","LT Cable Augmentation Shutar wala 0400","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","244377","Lt line work village wala","2025-09-06","2025-09-07","2025-11-06","2025-11-05","2025-11-06","2025-11-06"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Bhind","O&M Division Lahar","Alampur DC","Gwalior","48416","33 KV NEW ARUSHI SS","2025-10-09","2025-10-09","2025-10-09",NULL,"2025-10-09","2025-10-09"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","258212","LT AUGGUMTETION bajrang mandir wala 25 kva 0394","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","266051","Additional dtr at nakwada bus stand nakwada","2025-09-06","2025-09-07","2025-11-10","2025-09-23","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","258078","LT Cable Augmentation gaon wala kheda 63 kva 0687","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","241974","New LT for additional Tehsil wala  DTR ","2025-07-15","2025-07-16","2025-11-10","2025-09-24","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","241970","Additional dhane wala 100 kva","2025-09-06","2025-09-07","2025-11-10","2025-09-24","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","264538","Conversion of LT Line : 25 KVA BAJRANG MANDIR DHANPADA CABLE AUG.","2025-09-06","2025-09-07",NULL,"2026-03-12",NULL,NULL
